location,decimalLatitude,decimalLongitude,eventDate,vernacularName,taxonID,individualCount,femaleAdult,sex,lifeStage,mortalityType,dateOriginal,easting,northing
Glacier National Park,51.38,-117.5,5/18/1991,Black Bear,https://www.gbif.org/species/2433472,1,0,Unknown,YLY,Highway,18/05/1991,468520,5691809
Glacier National Park,51.33,-117.4,6/8/1991,Black Bear,https://www.gbif.org/species/2433473,1,1,Female,ADULT,Highway,8/6/1991,468920,5686709
Glacier National Park,51.32,-117.5,6/16/1991,Mountain Goat,https://www.gbif.org/species/2441188,1,1,Female,ADULT,Highway,16/06/1991,467220,5686009
Glacier National Park,51.45,-117.5,6/28/1991,Black Bear,https://www.gbif.org/species/2433474,1,0,Unknown,YLY,Highway,28/06/1991,466820,5699709
Glacier National Park,51.24,-117.6,7/9/1991,Black Bear,https://www.gbif.org/species/2433475,1,0,Unknown,YLY,Highway,9/7/1991,455120,5677009
Glacier National Park,51.33,-117.5,7/27/1991,Mountain Goat,https://www.gbif.org/species/2441189,1,1,Female,ADULT,Highway,27/07/1991,467320,5686109
Glacier National Park,51.32,-117.5,2/8/1992,Mountain Goat,https://www.gbif.org/species/2441190,1,0,Male,YLY,Highway,8/2/1992,466620,5686009
Glacier National Park,51.41,-117.5,9/17/1992,Black Bear,https://www.gbif.org/species/2433476,1,1,Female,ADULT,Highway,17/09/1992,467420,5695009
Glacier National Park,51.35,-117.3,5/21/1993,Black Bear,https://www.gbif.org/species/2433477,1,1,Female,ADULT,Railway,21/05/1993,476920,5688809
Glacier National Park,51.32,-117.5,6/20/1993,Mountain Goat,https://www.gbif.org/species/2441191,1,0,Male,ADULT,Highway,20/06/1993,467320,5686009
Glacier National Park,51.32,-117.5,7/15/1993,Mountain Goat,https://www.gbif.org/species/2441192,1,0,Female,YOY,Highway,15/07/1993,466620,5685709
Glacier National Park,51.32,-117.5,8/21/1993,Mountain Goat,https://www.gbif.org/species/2441193,1,1,Female,ADULT,Highway,21/08/1993,465620,5685509
Glacier National Park,51.26,-117.6,8/30/1993,Black Bear,https://www.gbif.org/species/2433478,1,0,Male,ADULT,Highway,30/08/1993,459520,5678809
Glacier National Park,51.31,-117.5,9/9/1993,Black Bear,https://www.gbif.org/species/2433479,1,0,Unknown,UNKNOWN,Highway,9/9/1993,464420,5684909
Glacier National Park,51.32,-117.5,6/22/1994,Mountain Goat,https://www.gbif.org/species/2441194,1,1,Female,ADULT,Highway,22/06/1994,467020,5685909
Glacier National Park,51.1,-117.8,6/25/1994,Black Bear,https://www.gbif.org/species/2433480,1,1,Female,ADULT,Highway,25/06/1994,441420,5661609
Glacier National Park,51.26,-117.6,6/29/1994,Black Bear,https://www.gbif.org/species/2433481,1,0,Unknown,UNKNOWN,Highway,29/06/1994,459420,5678709
Glacier National Park,51.34,-117.4,6/30/1994,Black Bear,https://www.gbif.org/species/2433482,1,1,Female,ADULT,Railway,30/06/1994,470220,5687909
Glacier National Park,51.32,-117.5,12/22/1994,Mountain Goat,https://www.gbif.org/species/2441195,1,1,Female,ADULT,Highway,22/12/1994,466920,5685909
Glacier National Park,51.4,-117.5,5/20/1995,Black Bear,https://www.gbif.org/species/2433483,1,1,Female,ADULT,Highway,20/05/1995,467620,5694609
Glacier National Park,51.43,-117.5,12/22/1995,Wolverine,https://www.gbif.org/species/5219073,1,1,Female,ADULT,Highway,22/12/1995,466720,5698209
Glacier National Park,51.42,-117.5,10/11/1996,Black Bear,https://www.gbif.org/species/2433484,1,0,Unknown,YLY,Highway,11/10/1996,467120,5697009
Glacier National Park,51.26,-117.5,6/11/1997,Black Bear,https://www.gbif.org/species/2433485,1,0,Unknown,YLY,Highway,11/6/1997,462420,5678609
Glacier National Park,51.33,-117.5,8/18/1997,Mountain Goat,https://www.gbif.org/species/2441196,1,1,Female,ADULT,Highway,18/08/1997,468220,5686509
Glacier National Park,51.31,-117.5,9/19/1997,Black Bear,https://www.gbif.org/species/2433486,1,1,Female,ADULT,Highway,19/09/1997,462420,5684409
Glacier National Park,51.33,-117.5,10/19/1997,Mountain Goat,https://www.gbif.org/species/2441197,1,0,Unknown,ADULT,Highway,19/10/1997,468220,5686509
Glacier National Park,51.38,-117.4,6/27/1998,Black Bear,https://www.gbif.org/species/2433487,1,0,Male,ADULT,Highway,27/06/1998,468774,5692701
Glacier National Park,51.22,-117.7,5/1/1999,Black Bear,https://www.gbif.org/species/2433488,1,0,MALE,ADULT,Highway,1/5/1999,451677,5674248
Glacier National Park,51.46,-117.5,5/25/1999,Black Bear,https://www.gbif.org/species/2433489,1,0,UNKNOWN,YOLY,Railway,25/05/1999,465429,5700554
Glacier National Park,51.37,-117.4,5/27/1999,Black Bear,https://www.gbif.org/species/2433490,1,0,FEMALE,YOLY,Railway,27/05/1999,469013,5690752
Glacier National Park,51.26,-117.6,6/4/1999,Black Bear,https://www.gbif.org/species/2433491,1,0,Unknown,UNKNOWN,Highway,4/6/1999,456596,5679050
Glacier National Park,51.46,-117.5,6/12/1999,Black Bear,https://www.gbif.org/species/2433492,2,0,UNKNOWN,YOLY,Highway,12/6/1999,466759,5701310
Glacier National Park,51.33,-117.5,6/19/1999,Mountain Goat,https://www.gbif.org/species/2441198,1,0,Unknown,YLY,Highway,19/06/1999,467020,5686129
Glacier National Park,51.38,-117.5,6/23/1999,Black Bear,https://www.gbif.org/species/2433493,1,0,UNKNOWN,UNKNOWN,Railway,23/06/1999,468420,5692209
Glacier National Park,51.25,-117.6,6/25/1999,Black Bear,https://www.gbif.org/species/2433494,1,0,MALE,ADULT,Highway,25/06/1999,456629,5677924
Glacier National Park,50.47,-117.4,6/26/1999,Black Bear,https://www.gbif.org/species/2433495,1,0,MALE,ADULT,Railway,26/06/1999,468920,5590766
Glacier National Park,51.26,-117.6,7/6/1999,Grizzly Bear,https://www.gbif.org/species/2433438,1,0,Unknown,UNKNOWN,Highway,6/7/1999,460585,5679385
Glacier National Park,51.43,-117.5,7/9/1999,Black Bear,https://www.gbif.org/species/2433496,1,0,UNKNOWN,YOY,Highway,9/7/1999,466869,5697516
Glacier National Park,51.25,-117.6,9/9/1999,Black Bear,https://www.gbif.org/species/2433497,1,0,UNKNOWN,ADULT,Highway,9/9/1999,455566,5677586
Glacier National Park,51.25,-117.6,9/9/1999,Black Bear,https://www.gbif.org/species/2433498,1,0,MALE,UNKNOWN,Railway,9/9/1999,458746,5678184
Glacier National Park,51.38,-117.4,10/9/1999,Grizzly Bear,https://www.gbif.org/species/2433439,1,0,FEMALE,YOY,Highway,9/10/1999,468920,5692209
Glacier National Park,50.47,-117.4,7/15/2000,Black Bear,https://www.gbif.org/species/2433499,1,0,MALE,ADULT,Railway,15/07/2000,469000,5590558
Glacier National Park,51.35,-117.5,7/15/2000,Black Bear,https://www.gbif.org/species/2433500,1,0,MALE,ADULT,Highway,15/07/2000,462463,5688939
Glacier National Park,51.46,-117.5,8/14/2000,Black Bear,https://www.gbif.org/species/2433501,1,0,UNKNOWN,UNKNOWN,Highway,14/08/2000,466596,5701589
Glacier National Park,51.29,-117.5,6/3/2001,Mountain Goat,https://www.gbif.org/species/2441199,1,0,Unknown,YLY,Highway,3/6/2001,463990,5682379
Glacier National Park,51.35,-117.4,6/13/2001,Black Bear,https://www.gbif.org/species/2433502,1,0,Unknown,UNKNOWN,Highway,13/06/2001,469980,5688409
Glacier National Park,51.38,-117.5,6/27/2001,Black Bear,https://www.gbif.org/species/2433503,1,0,UNKNOWN,ADULT,Railway,27/06/2001,467874,5692435
Glacier National Park,51.32,-117.5,7/3/2001,Mountain Goat,https://www.gbif.org/species/2441200,1,0,FEMALE,YOLY,Highway,3/7/2001,467100,5685920
Glacier National Park,50.47,-117.4,7/13/2001,Black Bear,https://www.gbif.org/species/2433504,1,0,UNKNOWN,UNKNOWN,Railway,13/07/2001,469039,5590558
Glacier National Park,51.35,-117.4,5/16/2002,Black Bear,https://www.gbif.org/species/2433505,1,0,MALE,YOY,Railway,16/05/2002,470220,5688509
Glacier National Park,50.47,-117.5,5/19/2002,Black Bear,https://www.gbif.org/species/2433506,1,0,MALE,ADULT,Railway,19/05/2002,463724,5590766
Glacier National Park,51.37,-117.5,5/19/2002,Black Bear,https://www.gbif.org/species/2433507,1,0,MALE,ADULT,Railway,19/05/2002,468639,5691614
Glacier National Park,51.46,-117.5,6/2/2002,Grizzly Bear,https://www.gbif.org/species/2433440,1,0,Unknown,YOY,Highway,2/6/2002,466720,5700709
Glacier National Park,51.45,-117.5,6/12/2002,Grizzly Bear,https://www.gbif.org/species/2433441,1,0,Unknown,YOY,Highway,12/6/2002,466770,5699910
Glacier National Park,51.33,-117.5,6/27/2002,Mountain Goat,https://www.gbif.org/species/2441201,1,1,FEMALE,ADULT,Highway,27/06/2002,467033,5686169
Glacier National Park,51.33,-117.5,8/3/2002,Black Bear,https://www.gbif.org/species/2433508,1,1,Female,ADULT,Highway,3/8/2002,468190,5686549
Glacier National Park,51.33,-117.5,8/4/2002,Black Bear,https://www.gbif.org/species/2433509,1,0,FEMALE,UNKNOWN,Highway,4/8/2002,468215,5686336
Glacier National Park,51.48,-117.5,8/6/2002,Black Bear,https://www.gbif.org/species/2433510,1,0,Unknown,YLY,Highway,6/8/2002,466615,5703189
Glacier National Park,51.26,-117.6,9/8/2002,Mountain Goat,https://www.gbif.org/species/2441202,1,0,FEMALE,YOY,Highway,8/9/2002,459800,5679049
Glacier National Park,51.26,-117.6,10/18/2002,Mountain Goat,https://www.gbif.org/species/2441203,1,1,FEMALE,ADULT,Highway,18/10/2002,459800,5679049
Glacier National Park,51.05,-117.9,1/16/2004,Mountain Goat,https://www.gbif.org/species/2441204,1,0,UNKNOWN,UNKNOWN,Highway,16/01/2004,434429,5656169
